Time [s],Bend Die Lateral Max Torque [%],Bend Die Rotating Max Torque [%],Bend Die Vertical Max Torque [%],Bend Die Lateral Movement [mm],Bend Die Rotating Angle [°],Bend Die Vertical Movement [mm],Collet Axial Max Torque [%],Collet Rotating Max Torque [%],Collet Axial Movement [mm],Collet Rotating Movement [mm],Mandrel Axial Load [kN],Manrel Axial Movement [mm],Pressure Die Axial Max Torque [%],Pressure Die Lateral Max Torque [%],Pressure Die Left Axial Max Torque [%],Pressure Die Axial Movement [mm],Pressure Die Lateral Movement [mm],Pressure Die Left Axial Movement [mm],Clamp Die Lateral Max Torque [%],Clamp Die Lateral Movement [mm]
27.700000000000000,10.39577865600590,-8.082141876220700,-11.740740776062000,-33.0,58.22420120239260,19.75,-6.296667098999020,2.857142925262450,-274.0790100097660,209.88040161132800,0.0799854403584056,-2907.599853515630,0.0,-4.161500453948980,0.20000000298023200,11.118900299072300,-50.45000076293950,-7.5,39.32500076293950,225.39999389648400
27.75,10.39577865600590,-8.100713729858400,-11.740740776062000,-33.0,58.05849838256840,19.750099182128900,-6.513333320617680,2.738095283508300,-273.9921875,209.88040161132800,0.0699356082807537,-2907.60009765625,0.0,-4.164499759674070,0.20000000298023200,11.210000038147000,-50.45000076293950,-7.5,39.29999923706060,225.39999389648400
27.8,10.422163963317900,-8.082141876220700,-11.740740776062000,-33.0,57.8931999206543,19.75,-6.555332660675050,2.857142925262450,-273.9132995605470,209.88040161132800,0.0799854403584056,-2907.599853515630,0.0,-4.162498950958250,0.20000000298023200,11.286700248718300,-50.45000076293950,-7.5,39.275001525878900,225.39999389648400
27.85,10.422163963317900,-8.048571586608890,-11.740740776062000,-33.0,57.727699279785200,19.75,-6.478666305541990,2.857142925262450,-273.8290100097660,209.88040161132800,0.058210804192726,-2907.60009765625,0.0,-4.159998893737790,0.15000000596046400,11.375499725341800,-50.45000076293950,-7.5,39.275001525878900,225.39999389648400
27.900000000000000,10.448548316955600,-8.114285469055180,-11.740740776062000,-33.0,57.562198638916000,19.75,-6.195333480834960,2.857142925262450,-273.74798583984400,209.88040161132800,0.0548608601680376,-2907.599853515630,0.0,-4.15449857711792,0.17499999701976800,11.454000473022500,-50.45000076293950,-7.5,39.25,225.39999389648400
27.950000000000000,10.422163963317900,-8.131427764892580,-11.703703880310100,-33.0,57.39680099487310,19.749900817871100,-6.015333652496340,2.738095283508300,-273.6630859375,209.88040161132800,0.0665856642553343,-2907.60009765625,0.0,-4.162498474121090,0.17499999701976800,11.539999961853000,-50.45000076293950,-7.5,39.25,225.39999389648400
28.0,10.448548316955600,-8.134284973144530,-11.703703880310100,-33.000099182128900,57.23149871826170,19.75,-5.8633341789245600,2.857142925262450,-273.58221435546900,209.88040161132800,0.0682606362680161,-2907.599853515630,0.0,-4.180500030517580,0.17499999701976800,11.619400024414100,-50.45000076293950,-7.5,39.224998474121100,225.39999389648400
28.05,10.422163963317900,-8.194999694824220,-11.703703880310100,-33.0,57.06589889526370,19.75,-5.9026665687561000,2.857142925262450,-273.4960021972660,209.88040161132800,0.058210804192726,-2907.60009765625,0.0,-4.179500102996830,0.17499999701976800,11.705100059509300,-50.45000076293950,-7.5,39.224998474121100,225.39999389648400
28.1,10.474934577941900,-8.210712432861330,-11.703703880310100,-33.0,56.9005012512207,19.749900817871100,-6.004665374755860,2.857142925262450,-273.4171142578130,209.88040161132800,0.0649106922427072,-2907.599853515630,0.0,-4.169000148773190,0.15000000596046400,11.784500122070300,-50.45000076293950,-7.5,39.224998474121100,225.39999389648400
28.150000000000000,10.448548316955600,-8.214282989501950,-11.703703880310100,-33.0,56.73500061035160,19.75,-5.999998569488530,2.857142925262450,-273.33099365234400,209.88040161132800,0.0565358321803574,-2907.60009765625,0.0,-4.164499759674070,0.17499999701976800,11.871399879455600,-50.45000076293950,-7.5,39.20000076293950,225.39999389648400
28.200000000000000,10.474934577941900,-8.260000228881840,-11.703703880310100,-33.0,56.56959915161130,19.75,-6.039332389831540,2.857142925262450,-273.25048828125,209.88040161132800,0.0699356082807537,-2907.599853515630,0.0,-4.158999443054200,0.20000000298023200,11.949399948120100,-50.45000076293950,-7.5,39.20000076293950,225.39999389648400
28.25,10.474934577941900,-8.250714302062990,-11.703703880310100,-33.0,56.40420150756840,19.75,-6.070666313171390,2.738095283508300,-273.1661071777340,209.88040161132800,0.058210804192726,-2907.60009765625,0.0,-4.156499862670900,0.17499999701976800,12.036100387573200,-50.45000076293950,-7.5,39.20000076293950,225.39999389648400
28.3,10.474934577941900,-8.246429443359380,-11.703703880310100,-33.0,56.238800048828100,19.75,-6.012000560760500,2.857142925262450,-273.0852966308590,209.88040161132800,0.0799854403584056,-2907.599853515630,0.0,-4.160499095916750,0.17499999701976800,12.11359977722170,-50.45000076293950,-7.5,39.17499923706060,225.39999389648400
28.35,10.474934577941900,-8.269286155700680,-11.703703880310100,-33.0,56.07320022583010,19.75,-5.896667003631590,2.857142925262450,-273.0008850097660,209.88040161132800,0.0515109161435399,-2907.60009765625,0.0,-4.164999485015870,0.17499999701976800,12.19950008392330,-50.45000076293950,-7.5,39.150001525878900,225.39999389648400
28.400000000000000,10.474934577941900,-8.229284286499020,-11.703703880310100,-33.0,55.907901763916000,19.75,-5.693331718444820,2.857142925262450,-272.9195861816410,209.88040161132800,0.0665856642553343,-2907.599853515630,0.0,-4.162999153137210,0.17499999701976800,12.278800010681200,-50.45000076293950,-7.5,39.17499923706060,225.39999389648400
28.450000000000000,10.50131893157960,-8.206427574157720,-11.703703880310100,-33.0,55.742401123046900,19.75,-5.612665176391600,2.857142925262450,-272.8337097167970,209.88040161132800,0.0598857762051442,-2907.60009765625,0.0,-4.162498950958250,0.17499999701976800,12.364999771118200,-50.45000076293950,-7.5,39.150001525878900,225.39999389648400
28.5,10.50131893157960,-8.215714454650880,-11.703703880310100,-33.0,55.576900482177700,19.75,-5.646665573120120,2.738095283508300,-272.7532043457030,209.88040161132800,0.0816604123715614,-2907.599853515630,0.0,-4.171000957489010,0.17499999701976800,12.442999839782700,-50.45000076293950,-7.5,39.150001525878900,225.39999389648400
28.55,10.50131893157960,-8.168571472167970,-11.703703880310100,-33.0,55.411399841308600,19.75,-5.725332260131840,2.857142925262450,-272.6679992675780,209.88040161132800,0.0665856642553343,-2907.60009765625,0.0,-4.180500507354740,0.17499999701976800,12.529600143432600,-50.45000076293950,-7.5,39.125,225.39999389648400
