BendDieBendingAngle,BendDieLateralMovement,ColletAxialForce,ColletAxialMovement,MandrelAxialForce,MandrelAxialMovement,PressureDieAxialForce,PressureDieAxialMovement,PressureDieLateralForce,WiperDieAxialForce,WiperDieLateralForce,WiperDieLateralMovement,Diameter tube [mm],Wallthickness tube [mm],Mandrel extraction before bending end [],Collet boost [-],Clearance pressure die [mm]
60.08470284341554,-0.2180788219,-1.1711785793,32.876010895,1.0521674156,-51.219924927,0.23272696137,-79.999992371,2.1586611271,0.0,0.0,-0.0013749096543,21.7,0.8,0,0.95,0.0
60.13584047254655,-0.22117502987,-1.2924981117,32.903987885,0.94195753336,-51.219924927,0.23102030158,-79.999992371,2.146682024,0.0,0.0,0.00082419801038,21.7,0.8,0,0.95,0.0
60.18697809594799,-0.22337917984,-1.0979770422,32.931968689,1.1601113081,-51.219924927,0.22589032352,-79.999992371,2.1021564007,0.0,0.0,0.0012446860783,21.7,0.8,0,0.95,0.0
60.23811572507901,-0.22505187988,-0.84138089418,32.959949493,1.4617213011,-51.219924927,0.22557932138,-79.999992371,2.0994348526,0.0,0.0,-0.0010208587628,21.7,0.8,0,0.95,0.0
60.289246518823525,-0.22615304589,-0.67443573475,32.987930298,1.8557265997,-51.219924927,0.22392554581,-79.999992371,2.079417944,0.0,0.0,-0.0010833900888,21.7,0.8,0,0.95,0.0
60.340384147954545,-0.22639523447,-0.54983329773,33.015907288,1.9803519249,-51.219924927,0.22273616493,-79.999992371,2.0660655499,0.0,0.0,0.0011920348043,21.7,0.8,0,0.95,0.0
60.391521771355976,-0.22590129077,-0.7244451642,33.043888092,2.2782621384,-51.219924927,0.22389535606,-79.999992371,2.071062088,0.0,0.0,0.00089504814241,21.7,0.8,0,0.95,0.0
60.442659400486995,-0.22448030114,-0.91882324219,33.071868896,2.4147491455,-51.219924927,0.22656774521,-79.999992371,2.0951786041,0.0,0.0,-0.0013334526448,21.7,0.8,0,0.95,0.0
60.49379702388844,-0.22222229838,-1.0846680403,33.099849701,2.5231852531,-51.219924927,0.22783623636,-79.999992371,2.1099410057,0.0,0.0,-0.0006843621959,21.7,0.8,0,0.95,0.0
60.544927823362535,-0.21957273781,-1.0845570564,33.127826691,2.6339213848,-51.219924927,0.2310834527,-79.999992371,2.1423735619,0.0,0.0,0.0014415821061,21.7,0.8,0,0.95,0.0
60.59606544676397,-0.21641528606,-0.81279718876,33.155807495,2.6948924065,-51.219924927,0.23560243845,-79.999992371,2.1853718758,0.0,0.0,0.00045659174793,21.7,0.8,0,0.95,0.0
60.647203075894986,-0.21306850016,-0.71605503559,33.1837883,2.6102128029,-51.219924927,0.23961898685,-79.999992371,2.2241539955,0.0,0.0,-0.0015137237497,21.7,0.8,0,0.95,0.0
60.69834069929642,-0.20982739329,-0.75066614151,33.211769104,2.5630121231,-51.219924927,0.24146777391,-79.999992371,2.2400887012,0.0,0.0,-0.00021742288664,21.7,0.8,0,0.95,0.0
60.74947832842744,-0.20694957674,-0.81475800276,33.239746094,2.6040668488,-51.219924927,0.24427360296,-79.999992371,2.2638094425,0.0,0.0,0.0015480766306,21.7,0.8,0,0.95,0.0
60.80060912217196,-0.20424419641,-0.72414141893,33.267726898,2.6685502529,-51.219924927,0.2453301847,-79.999992371,2.267250061,0.0,0.0,-2.7173726266e-05,21.7,0.8,0,0.95,0.0
60.85174675130298,-0.20217086375,-0.77463680506,33.295707703,2.7347240448,-51.219924927,0.24815437198,-79.999992371,2.2904641628,0.0,0.0,-0.0015437832335,21.7,0.8,0,0.95,0.0
60.90288437470441,-0.20164582133,-0.90381217003,33.323688507,2.6234054565,-51.219924927,0.24836480618,-79.999992371,2.2872872353,0.0,0.0,0.00027109196526,21.7,0.8,0,0.95,0.0
60.95402200383543,-0.20258678496,-0.7735118866,33.351665497,2.8135340214,-51.219924927,0.2467379421,-79.999992371,2.2726449966,0.0,0.0,0.0015009505441,21.7,0.8,0,0.95,0.0
61.00515962723687,-0.20416352153,-0.71385073662,33.379646301,2.968224287,-51.219924927,0.24885694683,-79.999992371,2.2914288044,0.0,0.0,-0.00050824263599,21.7,0.8,0,0.95,0.0
